"Geography","Geographic Area Name","Total"
"1400000US36005039300","Census Tract 393; Bronx County; New York","8033"
"1400000US36005039400","Census Tract 394; Bronx County; New York","4647"
"1400000US36005039500","Census Tract 395; Bronx County; New York","4254"
"1400000US36005039600","Census Tract 396; Bronx County; New York","4485"
"1400000US36005039700","Census Tract 397; Bronx County; New York","4492"
"1400000US36005039800","Census Tract 398; Bronx County; New York","3347"
"1400000US36005039901","Census Tract 399.01; Bronx County; New York","5254"
"1400000US36005039902","Census Tract 399.02; Bronx County; New York","5548"
"1400000US36005040100","Census Tract 401; Bronx County; New York","5009"
"1400000US36005040302","Census Tract 403.02; Bronx County; New York","4197"
"1400000US36005040303","Census Tract 403.03; Bronx County; New York","4843"
"1400000US36005040304","Census Tract 403.04; Bronx County; New York","4125"
"1400000US36005040400","Census Tract 404; Bronx County; New York","3530"
"1400000US36005040501","Census Tract 405.01; Bronx County; New York","4385"
"1400000US36005040502","Census Tract 405.02; Bronx County; New York","7320"
"1400000US36005040600","Census Tract 406; Bronx County; New York","3792"
"1400000US36005040701","Census Tract 407.01; Bronx County; New York","3235"
"1400000US36005040702","Census Tract 407.02; Bronx County; New York","6968"
"1400000US36005040800","Census Tract 408; Bronx County; New York","4475"
"1400000US36005040900","Census Tract 409; Bronx County; New York","3580"
"1400000US36005041100","Census Tract 411; Bronx County; New York","3215"
"1400000US36005041300","Census Tract 413; Bronx County; New York","7781"
"1400000US36005041400","Census Tract 414; Bronx County; New York","5342"
"1400000US36005041500","Census Tract 415; Bronx County; New York","5872"
"1400000US36005041800","Census Tract 418; Bronx County; New York","3752"
"1400000US36005041900","Census Tract 419; Bronx County; New York","7205"
"1400000US36005042000","Census Tract 420; Bronx County; New York","3905"
"1400000US36005042100","Census Tract 421; Bronx County; New York","6135"
"1400000US36005042200","Census Tract 422; Bronx County; New York","3211"
"1400000US36005042300","Census Tract 423; Bronx County; New York","4179"
"1400000US36005042400","Census Tract 424; Bronx County; New York","2553"
"1400000US36005042500","Census Tract 425; Bronx County; New York","7667"
"1400000US36005042600","Census Tract 426; Bronx County; New York","6982"
"1400000US36005042800","Census Tract 428; Bronx County; New York","2230"
"1400000US36005042901","Census Tract 429.01; Bronx County; New York","3711"
"1400000US36005042902","Census Tract 429.02; Bronx County; New York","4334"
"1400000US36005043000","Census Tract 430; Bronx County; New York","2952"
"1400000US36005043101","Census Tract 431.01; Bronx County; New York","5185"
"1400000US36005043102","Census Tract 431.02; Bronx County; New York","5050"
"1400000US36005043400","Census Tract 434; Bronx County; New York","3649"
"1400000US36005043501","Census Tract 435.01; Bronx County; New York","1192"
"1400000US36005043502","Census Tract 435.02; Bronx County; New York","2"
"1400000US36005043503","Census Tract 435.03; Bronx County; New York","122"
"1400000US36005043600","Census Tract 436; Bronx County; New York","2061"
"1400000US36005044200","Census Tract 442; Bronx County; New York","3877"
"1400000US36005044400","Census Tract 444; Bronx County; New York","3984"
"1400000US36005044800","Census Tract 448; Bronx County; New York","2007"
"1400000US36005044901","Census Tract 449.01; Bronx County; New York","1946"
"1400000US36005044902","Census Tract 449.02; Bronx County; New York","2229"
"1400000US36005045101","Census Tract 451.01; Bronx County; New York","1817"
"1400000US36005045102","Census Tract 451.02; Bronx County; New York","2142"
"1400000US36005045600","Census Tract 456; Bronx County; New York","3056"
"1400000US36005045800","Census Tract 458; Bronx County; New York","5662"
"1400000US36005046000","Census Tract 460; Bronx County; New York","2890"
"1400000US36005046203","Census Tract 462.03; Bronx County; New York","6599"
"1400000US36005046204","Census Tract 462.04; Bronx County; New York","5552"
"1400000US36005046205","Census Tract 462.05; Bronx County; New York","4445"
"1400000US36005046206","Census Tract 462.06; Bronx County; New York","4434"
"1400000US36005046207","Census Tract 462.07; Bronx County; New York","6228"
"1400000US36005046208","Census Tract 462.08; Bronx County; New York","5155"
"1400000US36005046209","Census Tract 462.09; Bronx County; New York","3707"
"1400000US36005048401","Census Tract 484.01; Bronx County; New York","3888"
"1400000US36005048402","Census Tract 484.02; Bronx County; New York","41"
"1400000US36005050400","Census Tract 504; Bronx County; New York","5"
"1400000US36005051601","Census Tract 516.01; Bronx County; New York","4445"
"1400000US36005051602","Census Tract 516.02; Bronx County; New York","0"
"1400000US36047000100","Census Tract 1; Kings County; New York","4616"
"1400000US36047000200","Census Tract 2; Kings County; New York","1205"
"1400000US36047000301","Census Tract 3.01; Kings County; New York","3850"
"1400000US36047000501","Census Tract 5.01; Kings County; New York","4404"
"1400000US36047000502","Census Tract 5.02; Kings County; New York","2640"
"1400000US36047000700","Census Tract 7; Kings County; New York","4415"
"1400000US36047000900","Census Tract 9; Kings County; New York","5167"
"1400000US36047001100","Census Tract 11; Kings County; New York","1578"
"1400000US36047001300","Census Tract 13; Kings County; New York","2465"
"1400000US36047001501","Census Tract 15.01; Kings County; New York","5161"
"1400000US36047001502","Census Tract 15.02; Kings County; New York","5801"
"1400000US36047001801","Census Tract 18.01; Kings County; New York","2563"
"1400000US36047001802","Census Tract 18.02; Kings County; New York","6"
"1400000US36047001803","Census Tract 18.03; Kings County; New York","16"
"1400000US36047001804","Census Tract 18.04; Kings County; New York","0"
"1400000US36047002000","Census Tract 20; Kings County; New York","1694"
"1400000US36047002100","Census Tract 21; Kings County; New York","5975"
"1400000US36047002200","Census Tract 22; Kings County; New York","4589"
"1400000US36047002300","Census Tract 23; Kings County; New York","3940"
"1400000US36047002901","Census Tract 29.01; Kings County; New York","3149"
"1400000US36047003000","Census Tract 30; Kings County; New York","1811"
"1400000US36047003101","Census Tract 31.01; Kings County; New York","3395"
"1400000US36047003102","Census Tract 31.02; Kings County; New York","0"
"1400000US36047003300","Census Tract 33; Kings County; New York","4807"
"1400000US36047003400","Census Tract 34; Kings County; New York","3489"
"1400000US36047003500","Census Tract 35; Kings County; New York","2402"
"1400000US36047003600","Census Tract 36; Kings County; New York","3959"
"1400000US36047003700","Census Tract 37; Kings County; New York","4565"
"1400000US36047003800","Census Tract 38; Kings County; New York","1529"
"1400000US36047003900","Census Tract 39; Kings County; New York","2644"
"1400000US36047004100","Census Tract 41; Kings County; New York","3398"
"1400000US36047004300","Census Tract 43; Kings County; New York","3810"
"1400000US36047004400","Census Tract 44; Kings County; New York","2448"
"1400000US36047004500","Census Tract 45; Kings County; New York","3476"
"1400000US36047004600","Census Tract 46; Kings County; New York","1154"
"1400000US36047004700","Census Tract 47; Kings County; New York","1951"
"1400000US36047004900","Census Tract 49; Kings County; New York","2412"
"1400000US36047005000","Census Tract 50; Kings County; New York","2535"
"1400000US36047005100","Census Tract 51; Kings County; New York","2658"
"1400000US36047005201","Census Tract 52.01; Kings County; New York","1879"
"1400000US36047005202","Census Tract 52.02; Kings County; New York","2668"
"1400000US36047005301","Census Tract 53.01; Kings County; New York","2164"
"1400000US36047005302","Census Tract 53.02; Kings County; New York","86"
"1400000US36047005303","Census Tract 53.03; Kings County; New York","0"
"1400000US36047005400","Census Tract 54; Kings County; New York","3426"
"1400000US36047005601","Census Tract 56.01; Kings County; New York","2692"
"1400000US36047005602","Census Tract 56.02; Kings County; New York","1734"
"1400000US36047005800","Census Tract 58; Kings County; New York","3450"
"1400000US36047005900","Census Tract 59; Kings County; New York","1742"
"1400000US36047006000","Census Tract 60; Kings County; New York","2876"
"1400000US36047006200","Census Tract 62; Kings County; New York","2958"
"1400000US36047006300","Census Tract 63; Kings County; New York","2007"
"1400000US36047006400","Census Tract 64; Kings County; New York","3623"
"1400000US36047006500","Census Tract 65; Kings County; New York","5461"
"1400000US36047006600","Census Tract 66; Kings County; New York","3974"
"1400000US36047006700","Census Tract 67; Kings County; New York","3618"
"1400000US36047006800","Census Tract 68; Kings County; New York","5491"
"1400000US36047006901","Census Tract 69.01; Kings County; New York","1631"
"1400000US36047006902","Census Tract 69.02; Kings County; New York","1962"
"1400000US36047007000","Census Tract 70; Kings County; New York","2454"
"1400000US36047007100","Census Tract 71; Kings County; New York","4362"
"1400000US36047007200","Census Tract 72; Kings County; New York","2082"
"1400000US36047007400","Census Tract 74; Kings County; New York","5829"
"1400000US36047007500","Census Tract 75; Kings County; New York","4691"
"1400000US36047007600","Census Tract 76; Kings County; New York","4872"
"1400000US36047007700","Census Tract 77; Kings County; New York","5690"
"1400000US36047007800","Census Tract 78; Kings County; New York","5333"
"1400000US36047008000","Census Tract 80; Kings County; New York","4024"
"1400000US36047008200","Census Tract 82; Kings County; New York","4008"
"1400000US36047008400","Census Tract 84; Kings County; New York","3311"
"1400000US36047008500","Census Tract 85; Kings County; New York","6673"
"1400000US36047008600","Census Tract 86; Kings County; New York","0"
"1400000US36047008800","Census Tract 88; Kings County; New York","3258"
"1400000US36047009001","Census Tract 90.01; Kings County; New York","1886"
"1400000US36047009002","Census Tract 90.02; Kings County; New York","1391"
"1400000US36047009201","Census Tract 92.01; Kings County; New York","2087"
"1400000US36047009202","Census Tract 92.02; Kings County; New York","3424"
"1400000US36047009401","Census Tract 94.01; Kings County; New York","3127"
"1400000US36047009402","Census Tract 94.02; Kings County; New York","3168"
"1400000US36047009600","Census Tract 96; Kings County; New York","6462"
"1400000US36047009800","Census Tract 98; Kings County; New York","7440"
